Order ID,Product_Name,Product_Category,Quantity,Price,Sales_Amount,Date
10001,"Shirt, Large",Clothing,2,25.99,51.98,2023-01-01
10002,"Jeans, Medium",Clothing,1,45.50,45.50,2023-01-02
10003,"Sneakers, Size 10",Footwear,1,60.00,60.00,2023-01-03
10004,"Jacket, Small",Clothing,3,80.00,240.00,2023-01-04
10005,"Socks, One Size",Clothing,5,5.00,25.00,2023-01-05
10006,"Hat, Adjustable",Accessories,2,15.00,30.00,2023-01-06
10007,"Backpack, Large",Accessories,1,50.00,50.00,2023-01-07
10008,"Watch, Digital",Accessories,1,120.00,120.00,2023-01-08
10009,"Sunglasses, Unisex",Accessories,2,75.00,150.00,2023-01-09
10010,"Belt, Leather",Accessories,1,35.00,35.00,2023-01-10
100011,"Dress, Medium",Clothing,2,55.00,110.00,2023-01-11
100012,"Skirt, Small",Clothing,1,40.00,40.00,2023-01-12
100013,"Boots, Size 8",Footwear,1,85.00,85.00,2023-02-13
100014,"Sandals, Size 9",Footwear,2,30.00,60.00,2023-02-14
100015,"T-shirt, Large",Clothing,3,20.00,60.00,2023-02-15
100016,"Hoodie, Medium",Clothing,1,35.00,35.00,2023-02-16
100017,"Gloves, One Size",Accessories,4,10.00,40.00,2023-02-17
100018,"Scarf, Unisex",Accessories,2,25.00,50.00,2023-02-18
100019,"Wallet, Leather",Accessories,1,45.00,45.00,2023-02-19
100020,"Tie, Silk",Accessories,3,20.00,60.00,2023-02-20
100021,"Blouse, Small",Clothing,2,30.00,60.00,2023-02-21
100022,"Pants, Medium",Clothing,1,40.00,40.00,2023-02-22
100023,"Loafers, Size 9",Footwear,1,70.00,70.00,2023-02-23
100024,"Flip Flops, Size 8",Footwear,2,15.00,30.00,2023-02-24
100025,"Tank Top, Large",Clothing,3,18.00,54.00,2023-02-25
